español,nahuatl
a hacia,kanapa
a hacia,kana
a alguna parte,kanaj
a buen tiempo,yekkan
a buen tiempo,kualkan
a cada uno,sesenyaka
a causa,pampa
a continuacion,niman
a cual,kanyepan
a el,kin
a ella,kin
a ellos,kin
a ellas,kin
a espaldas,kuitlapan
a esta hora,imani
a esta parte,iyepan
a este lado,iyepan
a la vista,ixpan
a lo mejor,kox
a los lados,tlamak
a menudo,achika
a mi,nech
a nosotros,tech
a poco,tlach
a poco no,anomo
a sus pies,ikxitlantsinko
a ti,mits
a tiempo,imixpa
a traves de,tika
a uno y a otro,auik
a veces,kemanian
a ustedes,amech
abad,teoyotika tepachoani
abajo,tlani
abajo,temo
abalanzar,tekuitlaxeloa
aballestar,tepostlauitoloa
abalorio,koskatl
abandonado,tlakauali
abandonado,iknotl
abandonar,tlakaua
abandono,tlakaualistli
abarca,mekakaktli
abarcar,tlamalkochka
abatible,tlachitlasaki
abatimiento,nepilotiuechilistli
abceso,kuetlaxsauatl
abecedario,machiotlajtololistli
abecedario,tlajtolmelaukan
abedul,aititl
abeja,pipiyoli
abeja,apis mellifica
abeja reina,kuausayoli
abeja reina,nekusayoli
abejaruco,xikotototl
abejorro,xikotli
abertura,tlapouilistli
abertura de la boca,kamachololistli
abertura de llaga,chipeliuistli
abeto,osokotl
abeto blanco,akxoyatl
abierto,tlapouki
abismo,auejkatlan
ablandado,tlatilili
ablandado,yamanili
ablandado,seseuilo
ablandar el corazon,yolpapatstia
ablandar,tlayamania
abogacia,tepantlajtolistli
abogado,tepantlahtoani
abolengo,tlakamekayotl
abolicion,amoixnauatilistli
abolidor,amoixnauatini
abolir,amoixnauatia
abollado,tlapatsoli
abolladura,tlapatsolistli
abollar,tlapatsoua
abominable,tlatelchiualoni
abominar,tlatelchiua
abonado,tlalkualitoli
abonar,yetlakualkuanti
abonar la tierra,kualitoa
abono,kuitlasoli
abono,kuausoli
aborigen,achtotlakatl
abortado,sanoli
abortado,tlaxilin
abortado,tlaxili
abortar,tlatlaxilia
aborto,tlatlaxilistli
